word,colour,stm_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.023004299961030483,0.037665799958631396,1.0060519999824464,,,,,,,,,,,,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,red,C,r,0,0,0,r,1,4.730822799960151,None,0,0,0,0,1.0525106999557465,,,,,1.0462324999971315,1.0525106999557465,1.5055942999897525,1.5055942999897525,1.5055942999897525,6.000199400004931,6.3060866999439895,r,1,4.730822799960151,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,blue,I,b,1,1,0,b,1,1.322642600047402,None,0,1,1,1,6.310128799988888,,,,,6.30651410005521,6.310128799988888,6.816942699952051,6.816942699952051,6.816942699952051,,8.151543000014499,b,1,1.322642600047402,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,red,I,r,2,2,0,r,1,1.0651966999284923,None,0,2,2,2,8.166942900046706,,,,,8.158970699994825,8.166942900046706,8.66685130004771,8.66685130004771,8.66685130004771,,9.73495129996445,r,1,1.0651966999284923,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,blue,C,b,3,3,0,b,1,0.9457158999284729,None,0,3,3,3,9.750277500017546,,,,,9.73540210002102,9.750277500017546,10.25044259999413,10.25044259999413,10.25044259999413,,11.202758700004779,b,1,0.9457158999284729,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,blue,I,b,4,0,1,b,1,1.3452063000295311,None,1,0,4,1,11.216818899963982,,,,,11.207225800026208,11.216818899963982,11.717070100014098,11.717070100014098,11.717070100014098,,13.069108200026676,b,1,1.3452063000295311,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,red,I,r,5,1,1,r,1,0.8693525999551639,None,1,1,5,2,13.083370100008324,,,,,13.073408799944445,13.083370100008324,13.583417100016959,13.583417100016959,13.583417100016959,,14.468651999952272,r,1,0.8693525999551639,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,red,C,r,6,2,1,r,1,0.7661900999955833,None,1,2,6,0,14.483432100038044,,,,,14.473132599960081,14.483432100038044,14.983626900007948,14.983626900007948,14.983626900007948,,15.752870599972084,r,1,0.7661900999955833,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,blue,C,b,7,3,1,b,1,0.6277356999926269,None,1,3,7,3,15.766787800006568,,,,,15.757373300031759,15.766787800006568,16.266762500046752,16.266762500046752,16.266762500046752,,16.902260400005616,b,1,0.6277356999926269,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,blue,C,b,8,0,2,b,1,0.5660327000077814,None,2,0,8,3,16.916699999943376,,,,,16.90319179999642,16.916699999943376,17.41699219995644,17.41699219995644,17.41699219995644,,17.98676580004394,b,1,0.5660327000077814,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,blue,I,b,9,1,2,r,0,0.9305208999430761,None,2,1,9,1,17.99989540001843,,,,,17.99117179994937,17.99989540001843,18.499938299995847,18.499938299995847,18.499938299995847,,19.435061599942856,r,0,0.9305208999430761,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,red,C,r,10,2,2,r,1,1.362384399981238,None,2,2,10,0,19.449227900011465,,,,,19.436036100029014,19.449227900011465,19.949957799981348,19.949957799981348,19.949957799981348,,21.318617400014773,r,1,1.362384399981238,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,red,I,r,11,3,2,r,1,0.9235423000063747,None,2,3,11,2,21.33279589994345,,,,,21.32296989997849,21.33279589994345,21.83310030004941,21.83310030004941,21.83310030004941,,22.76841969997622,r,1,0.9235423000063747,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,blue,C,b,12,0,3,b,1,0.8239948000991717,None,3,0,12,3,22.783254500012845,,,,,22.76951040001586,22.783254500012845,23.282965300022624,23.282965300022624,23.282965300022624,,24.11877189995721,b,1,0.8239948000991717,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,red,C,r,13,1,3,r,1,0.8122066999785602,None,3,1,13,0,24.133014300023206,,,,,24.12369929999113,24.133014300023206,24.6328477000352,24.6328477000352,24.6328477000352,,25.452043000026606,r,1,0.8122066999785602,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,blue,I,b,14,2,3,b,1,0.8212817000458017,None,3,2,14,1,25.466194199980237,,,,,25.452972500002943,25.466194199980237,25.966430900036357,25.966430900036357,25.966430900036357,,26.802010599989444,b,1,0.8212817000458017,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,red,I,r,15,3,3,r,1,1.6426041000522673,None,3,3,15,2,26.816346999956295,,,,,26.80664570000954,26.816346999956295,27.316233200021088,27.316233200021088,27.316233200021088,,28.968839299981482,r,1,1.6426041000522673,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,red,C,r,16,0,4,r,1,1.0608471999876201,None,4,0,16,0,28.982689399970695,,,,,28.97351639997214,28.982689399970695,29.48291879997123,29.48291879997123,29.48291879997123,,30.5515154999448,r,1,1.0608471999876201,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,red,I,r,17,1,4,r,1,1.1358649999601766,None,4,1,17,2,30.566045099985786,,,,,30.55585590004921,30.566045099985786,31.066178799956106,31.066178799956106,31.066178799956106,,32.21835690003354,r,1,1.1358649999601766,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,blue,C,b,18,2,4,b,1,1.0097583000315353,None,4,2,18,3,32.23266530002002,,,,,32.21929869998712,32.23266530002002,32.73263079999015,32.73263079999015,32.73263079999015,,33.75179649994243,b,1,1.0097583000315353,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,blue,I,b,19,3,4,b,1,1.6988662999356166,None,4,3,19,1,33.76602510001976,,,,,33.7564084000187,33.76602510001976,34.26589200005401,34.26589200005401,34.26589200005401,,35.968096300028265,b,1,1.6988662999356166,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,blue,I,b,20,0,5,b,1,0.8063111000228673,None,5,0,20,1,35.98252540000249,,,,,35.9690689999843,35.98252540000249,36.48260830005165,36.48260830005165,36.48260830005165,,37.301606000051834,b,1,0.8063111000228673,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,red,I,r,21,1,5,r,1,1.481065700063482,None,5,1,21,2,37.315581399947405,,,,,37.306824999977835,37.315581399947405,37.816049900022335,37.816049900022335,37.816049900022335,,39.3016035000328,r,1,1.481065700063482,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,red,C,r,22,2,5,r,1,2.344728500000201,None,5,2,22,0,39.3154813000001,,,,,39.306076999986544,39.3154813000001,39.815826099948026,39.815826099948026,39.815826099948026,,42.16796260001138,r,1,2.344728500000201,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,blue,C,b,23,3,5,b,1,0.843166199978441,None,5,3,23,3,42.18212060001679,,,,,42.172652399982326,42.18212060001679,42.682406099978834,42.682406099978834,42.682406099978834,,43.53446500003338,b,1,0.843166199978441,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,blue,C,b,24,0,6,b,1,0.7924329000525177,None,6,0,24,3,43.54875059996266,,,,,43.53534529998433,43.54875059996266,44.049146199948154,44.049146199948154,44.049146199948154,,44.85077809996437,b,1,0.7924329000525177,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,red,C,r,25,1,6,r,1,0.8350747999502346,None,6,1,25,0,44.86544570000842,,,,,44.85555249999743,44.86544570000842,45.36537450004835,45.36537450004835,45.36537450004835,,46.21778099995572,r,1,0.8350747999502346,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,blue,I,b,26,2,6,b,1,3.0128912000218406,None,6,2,26,1,46.232071300037205,,,,,46.218916599988006,46.232071300037205,46.73201879998669,46.73201879998669,46.73201879998669,,49.75083140004426,b,1,3.0128912000218406,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,red,I,r,27,3,6,r,1,1.6688360000262037,None,6,3,27,2,49.765302399988286,,,,,49.75507369998377,49.765302399988286,50.265176499960944,50.265176499960944,50.265176499960944,,51.95040239999071,r,1,1.6688360000262037,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,red,I,r,28,0,7,r,1,1.3145058000227436,None,7,0,28,2,51.96526039997116,,,,,51.95136950002052,51.96526039997116,52.46517019998282,52.46517019998282,52.46517019998282,,53.78396669996437,r,1,1.3145058000227436,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,blue,I,b,29,1,7,b,1,0.8321726999711245,None,7,1,29,1,53.79831520002335,,,,,53.789393099956214,53.79831520002335,54.298410600051284,54.298410600051284,54.298410600051284,,55.134787100018,b,1,0.8321726999711245,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,red,C,r,30,2,7,r,1,0.8442615000531077,None,7,2,30,0,55.14824250002857,,,,,55.1358801999595,55.14824250002857,55.64829609997105,55.64829609997105,55.64829609997105,,56.50056329998188,r,1,0.8442615000531077,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,blue,C,b,31,3,7,b,1,0.6765261000255123,None,7,3,31,3,56.51505140005611,,,,,56.50537599995732,56.51505140005611,57.01497010001913,57.01497010001913,57.01497010001913,,57.70066410000436,b,1,0.6765261000255123,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,red,I,r,32,0,8,r,1,1.6919418999459594,None,8,0,32,2,57.71489800000563,,,,,57.70175859995652,57.71489800000563,58.21461410005577,58.21461410005577,58.21461410005577,,59.91709570004605,r,1,1.6919418999459594,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,red,C,r,33,1,8,r,1,0.8179645999334753,None,8,1,33,0,59.93148749996908,,,,,59.92214220005553,59.93148749996908,60.43162539997138,60.43162539997138,60.43162539997138,,61.26690519996919,r,1,0.8179645999334753,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,blue,C,b,34,2,8,b,1,0.8352865000488237,None,8,2,34,3,61.28142699995078,,,,,61.273757499991916,61.28142699995078,61.7812636999879,61.7812636999879,61.7812636999879,,62.63314609997906,b,1,0.8352865000488237,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,blue,I,b,35,3,8,r,0,0.8155217999592423,None,8,3,35,1,62.64798919996247,,,,,62.63766869995743,62.64798919996247,63.14818100002594,63.14818100002594,63.14818100002594,,63.967481300001964,r,0,0.8155217999592423,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,red,I,r,36,0,9,r,1,1.4296313999220729,None,9,0,36,2,63.98132350004744,,,,,63.97254810004961,63.98132350004744,64.48128619999625,64.48128619999625,64.48128619999625,,65.9169750000583,r,1,1.4296313999220729,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,red,C,r,37,1,9,r,1,0.7655671000247821,None,9,1,37,0,65.93102669995278,,,,,65.92210379999597,65.93102669995278,66.43127549998462,66.43127549998462,66.43127549998462,,67.20037079998292,r,1,0.7655671000247821,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
BLUE,blue,C,b,38,2,9,b,1,0.7972500000614673,None,9,2,38,3,67.21437119995244,,,,,67.20528400002513,67.21437119995244,67.71433790004812,67.71433790004812,67.71433790004812,,68.51683490001597,b,1,0.7972500000614673,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
RED,blue,I,b,39,3,9,b,1,0.7024556000251323,None,9,3,39,1,68.53095869999379,,,,,68.52151590003632,68.53095869999379,69.03109419997782,69.03109419997782,69.03109419997782,,69.74987749999855,b,1,0.7024556000251323,None,,,,,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.75013199995738,69.76419619994704,70.76419559994247,70.74905430001672,954272,001,2024-08-16_01h35.16.155,stroop task,2024.2.1post4,60.00607260490249,2024-08-16 01h35.26.508561 +0530,
